Time(s), Energy
0.0, 187.01620
0.1, 99.25285
0.2, 1957.13745
0.3, 3474.43286
0.4, 3038.80859
0.5, 2464.09326
0.6, 1968.65515
0.7, 1712.71863
0.8, 2589.22729
0.9, 3325.41138
1.0, 2435.77881
1.1, 1991.80957
1.2, 1994.84961
1.3, 2982.87793
1.4, 3406.34106
1.5, 3100.60620
1.6, 2471.91528
1.7, 1732.82556
1.8, 1984.02673
1.9, 2349.65625
2.0, 2230.98511
2.1, 1930.50513
2.2, 1992.89355
2.3, 2502.27686
2.4, 2750.03418
2.5, 2677.66650
2.6, 2241.32812
2.7, 2212.18604
2.8, 1893.57727
2.9, 2434.47192
3.0, 3469.35034
3.1, 2831.91040
3.2, 2601.86572
3.3, 2081.59424
3.4, 1883.95544
3.5, 2147.75732
3.6, 2179.75073
3.7, 1847.61963
3.8, 1685.12512
3.9, 1712.58630
4.0, 2647.52808
4.1, 2467.73047
4.2, 2295.08521
4.3, 2008.29407
4.4, 1718.73633
4.5, 2271.17017
4.6, 2184.90576
4.7, 1839.91248
4.8, 1705.05835
4.9, 1701.19287
5.0, 2700.61011
5.1, 2399.32495
5.2, 2011.42834
5.3, 2168.46631
5.4, 2481.27124
5.5, 1766.57849
5.6, 2062.54004
5.7, 2641.75928
5.8, 2392.15991
5.9, 2161.03247
6.0, 1729.96729
6.1, 1500.16528
6.2, 2315.26196
6.3, 2114.31519
6.4, 1560.96936
6.5, 1563.51782
6.6, 1661.33777
6.7, 2544.90649
6.8, 2093.48022
6.9, 1964.48157
7.0, 1850.42700
7.1, 1333.75745
7.2, 2001.59509
7.3, 1846.04175
7.4, 1599.21838
7.5, 1844.01880
7.6, 2065.11401
7.7, 2824.43140
7.8, 2346.36450
7.9, 1911.58740
8.0, 2125.21680
8.1, 2017.85071
8.2, 1984.73157
8.3, 2424.29175
8.4, 2350.32935
8.5, 2208.95142
8.6, 2137.97363
8.7, 2177.81543
8.8, 2301.78442
8.9, 2172.65918
9.0, 2429.31396
9.1, 2044.92542
9.2, 1618.01416
9.3, 2438.59106
9.4, 2263.09668
9.5, 1888.73792
9.6, 1639.61426
9.7, 1420.72131
9.8, 2272.52319
9.9, 2411.29419
10.0, 1883.54016
10.1, 1934.97961
10.2, 2169.19580
10.3, 2392.38037
10.4, 2610.83105
10.5, 2300.92578
10.6, 2049.19458
10.7, 2100.59155
10.8, 2289.11792
10.9, 1782.29846
11.0, 3345.86890
11.1, 3166.29712
11.2, 2623.25879
11.3, 2372.60278
11.4, 2222.17212
11.5, 3485.61060
11.6, 3567.69629
11.7, 2638.93604
11.8, 2380.69141
11.9, 2770.43262
12.0, 2890.67529
12.1, 2943.96558
12.2, 2925.16895
12.3, 2606.72827
12.4, 2157.17407
12.5, 2507.12036
12.6, 2382.04614
12.7, 2050.88867
12.8, 2196.86768
12.9, 2214.92822
13.0, 3151.33447
13.1, 3031.21021
13.2, 2755.10010
13.3, 2885.07495
13.4, 2665.22266
13.5, 2583.99292
13.6, 2564.46484
13.7, 3338.81665
13.8, 3323.13354
13.9, 2950.48462
14.0, 2971.00708
14.1, 2497.60425
14.2, 3033.79785
14.3, 2749.58350
14.4, 2359.69385
14.5, 2173.25269
14.6, 2316.40649
14.7, 3180.77856
14.8, 2518.07910
14.9, 2499.95435
15.0, 2357.04077
15.1, 2358.86475
15.2, 3273.49487
15.3, 3110.73633
15.4, 2584.03345
15.5, 3144.59375
15.6, 2771.66528
15.7, 2965.86450
15.8, 2869.23706
15.9, 2863.86255
16.0, 2447.64722
16.1, 2685.52002
16.2, 2464.29419
16.3, 2617.61694
16.4, 2760.46753
16.5, 2276.45581
16.6, 1858.83044
16.7, 1764.75842
16.8, 2510.16455
16.9, 2818.16040
17.0, 2312.07642
17.1, 1939.34875
17.2, 2128.53638
17.3, 3206.33496
17.4, 3229.45801
17.5, 2677.49951
17.6, 2509.64795
17.7, 2310.41187
17.8, 2437.74780
17.9, 2797.81494
18.0, 2502.47339
18.1, 2146.48828
18.2, 2808.37085
18.3, 2755.60376
18.4, 2455.08130
18.5, 2215.87402
18.6, 1939.13477
18.7, 2482.19800
18.8, 2353.55688
18.9, 2274.41748
19.0, 2471.12451
19.1, 2156.48413
19.2, 2065.37378
19.3, 2475.92358
19.4, 2066.56616
19.5, 2179.01392
19.6, 2093.02954
19.7, 2189.44702
19.8, 1833.21704
19.9, 1830.94946
20.0, 2844.38843
20.1, 2206.28320
20.2, 2226.11328
20.3, 2009.38074
20.4, 1826.67407
20.5, 1981.79651
20.6, 1509.78711
20.7, 1401.15503
20.8, 1820.97839
20.9, 1861.37390
21.0, 2599.79565
21.1, 2346.34570
21.2, 2106.74390
21.3, 2001.86475
21.4, 1771.58386
21.5, 1267.54907
21.6, 3442.70166
21.7, 3990.44800
21.8, 2055.88794
21.9, 1717.92859
22.0, 1538.55701
22.1, 1359.92078
22.2, 1814.53442
22.3, 4649.98975
22.4, 1366.75671
22.5, 1073.85693
22.6, 1056.12305
22.7, 1980.53003
22.8, 1730.92639
22.9, 1559.19849
23.0, 4513.98291
23.1, 1164.95166
